1,Alberta Aqua,,12,1402,"2
4 min","3
73 min","3
119 min","2
151 min","3
145 min","1
8 min","1
11 min","1
18 min","1
100 min","7
198 min","4
225 min","1
10 min"
2,Ahmed Siadomar,,11,1022,"2
15 min","1
39 min","1
137 min","1
192 min","2
110 min","2
3 min","1
8 min","1
23 min","1
159 min","2
250 min",,"1
6 min"
3,Kevin Miao,,10,1539,"2
33 min","1
100 min","15
293 min","5
297 min","1
120 min","1
4 min","1
18 min","1
49 min","1
220 min","1
-",,"1
25 min"
4,Jerry Xu,,9,1042,"3
10 min","1
54 min","6
-","1
267 min","4
201 min","1
14 min","1
18 min","1
35 min","5
239 min",,,"1
24 min"
5,Kai Luedemann,,9,1136,"2
56 min","1
144 min","1
-","1
274 min","1
170 min","1
15 min","1
21 min","2
67 min","2
298 min",,,"1
31 min"
6,Sergii Penner,,7,765,"1
19 min","1
-","4
186 min",,"1
-","1
21 min","1
26 min","4
70 min","3
231 min",,,"2
32 min"
7,Akif Chowdhury,,7,917,"1
35 min","2
69 min","6
-",,"2
150 min","1
6 min","2
22 min","3
94 min","10
261 min",,,"5
-"
8,Kaaden RumanCam,,7,1274,"2
123 min","2
-","15
296 min",,"2
212 min","2
19 min","1
66 min","3
108 min",,,,"1
70 min"
9,Maksym Lishchynskyi,,6,659,"2
12 min","5
280 min",,,"1
-","1
27 min","1
35 min","4
104 min",,,,"1
41 min"
10,Sidharth Pillai,,6,865,"3
50 min","4
-",,,"2
-","1
9 min","1
41 min","4
67 min","15
253 min",,,"2
45 min"
11,Gurveer Sohal,,5,361,"5
108 min",,,,,"1
7 min","1
20 min","4
71 min",,,,"1
15 min"
12,Daniil Zahoruiko,,5,474,"1
82 min",,,,"1
-","2
21 min","1
26 min","4
230 min","7
-",,,"1
35 min"
13,KMU,,5,799,"4
184 min",,,,,"1
50 min","2
68 min","4
216 min",,,,"3
101 min"
14,Great-white Mamba Crocodiles,,5,1006,"10
232 min",,"4
-",,,"1
71 min","2
149 min","1
221 min",,,,"2
113 min"
15,Austin Lu,,4,402,"4
156 min",,"1
-",,,"1
50 min","1
61 min",,,,,"1
75 min"
16,55.5 mol/L dihydrogen monoxide,,4,459,,"2
-",,,"2
-","1
41 min","9
80 min","2
82 min",,"1
-",,"2
56 min"
17,Ethan Lim,,3,192,"3
-",,,,,"1
13 min","2
65 min",,,,,"3
54 min"
18,Amar Kulovac,,2,75,"2
-",,,,,"1
8 min","3
27 min","26
-","11
-",,,
19,Advik Mehta,,0,0,,,,,,,,,,,,
19,Haruto Tanaka,,0,0,,,,,,,,,,,,
19,Vaibhav Bharatkumar Patel,,0,0,,,,,,,,,,,,
1,UBC blue,,12,573,"1
3 min","1
36 min","1
27 min","2
47 min","1
81 min","1
4 min","1
6 min","1
14 min","1
64 min","1
76 min","2
165 min","1
10 min"
2,ngpin04,,12,829,"2
7 min","1
46 min","1
39 min","1
81 min","2
130 min","1
9 min","1
11 min","1
18 min","1
103 min","1
154 min","1
177 min","1
14 min"
3,.vince,,11,1267,"3
14 min","1
103 min","3
76 min","2
289 min","2
148 min","1
16 min","1
20 min","1
30 min","2
127 min","3
241 min",,"1
23 min"
4,Generating Function,,11,1324,"1
8 min","2
43 min","13
-","5
257 min","2
160 min","1
10 min","1
12 min","3
24 min","2
82 min","3
200 min","1
290 min","1
18 min"
5,Sraavan Sridhar,,9,626,"2
16 min","1
59 min","1
88 min",,"2
119 min","1
2 min","1
20 min","1
38 min","4
156 min",,,"1
28 min"
6,Yifan Bao,,9,1783,"1
11 min","2
103 min","40
274 min",,"1
124 min","1
14 min","1
19 min","2
27 min","7
235 min","1
-",,"1
36 min"
7,graycoder,,8,823,"1
14 min","3
99 min","7
-",,"2
180 min","1
17 min","1
22 min","2
65 min","4
229 min",,,"2
37 min"
8,Kaiwen Liu,,8,1094,"3
29 min","3
195 min","2
-",,"1
233 min","1
8 min","1
27 min","3
64 min","3
287 min",,,"2
71 min"
9,Rain Zimin Yang,,7,554,"3
10 min","1
159 min","15
-",,"3
178 min","1
12 min","1
23 min","2
32 min",,,,"2
20 min"
10,turtlecuber,,6,544,"4
30 min",,,,"3
223 min","1
34 min","1
38 min","2
55 min","3
-",,,"1
44 min"
11,Haotian Gong,,6,958,"2
136 min","1
220 min",,,,"1
113 min","1
155 min","1
151 min",,,,"1
163 min"
12,NoName,,5,227,"1
102 min","2
-",,,,"1
9 min","1
18 min","1
66 min",,,,"1
32 min"
13,Brendan Guilfoyle,,5,480,"3
46 min",,,,"3
138 min","1
49 min","2
68 min",,,,,"2
59 min"
14,Eagle,,5,498,"4
-",,,,"1
107 min","1
61 min","1
78 min","1
181 min",,,,"1
71 min"
15,Alan Zhang,,5,551,"4
84 min",,,,,"1
31 min","1
36 min","4
224 min",,,,"1
56 min"
16,Eric Zhou,,5,571,"4
142 min",,,,"2
-","1
47 min","1
60 min","2
173 min",,,,"1
69 min"
17,University of Building Construction,,4,420,"4
145 min",,,,,"1
40 min","1
45 min","2
-","2
-",,,"2
110 min"
18,Minghao Li,,4,690,"8
152 min",,,,,"1
30 min","5
99 min","2
-",,"3
-",,"4
129 min"
19,One of your coach,,4,836,"1
-","1
210 min","2
-","1
237 min",,"1
193 min",,,,,"2
176 min",
20,Edwin Zheng,,4,840,"6
273 min",,,,,"3
29 min","3
280 min","13
-",,,,"1
78 min"
