1,Alberta Aqua,,14,1207,"1
2 min","9
263 min","1
6 min","3
43 min","1
15 min","1
81 min","1
63 min","1
25 min","1
66 min","1
137 min","1
182 min","1
34 min","1
53 min","2
17 min"
2,BYU *,,10,557,"1
6 min","1
-","1
14 min","1
39 min","1
19 min",,"1
94 min","2
66 min","1
81 min","2
166 min",,"1
23 min","6
-","1
9 min"
3,BYU JT^2,,10,559,"1
10 min",,"1
26 min","1
96 min","1
14 min",,"1
73 min","2
29 min","1
80 min","1
109 min",,"1
38 min","3
-","1
64 min"
4,Codetoads,,9,879,"2
4 min",,"1
27 min","3
145 min","1
33 min",,"1
188 min","3
89 min","1
126 min","1
-",,"2
104 min","1
-","1
43 min"
5,Algonauts,,9,1126,"1
4 min",,"3
25 min","4
133 min","1
26 min",,"1
67 min","5
278 min","1
175 min",,,"3
116 min",,"2
62 min"
6,Rule-Of-Three,,8,811,"1
24 min",,"2
116 min","1
220 min","1
9 min",,"1
216 min","1
45 min","1
68 min","3
-",,"1
93 min","1
-","3
-"
7,University of Lethbridge WA,,8,930,"1
18 min",,"1
16 min","1
112 min","1
22 min",,,"3
98 min","2
170 min",,,"3
95 min","2
-","3
259 min"
8,"BYU[""sunshine""]",,8,1035,"1
4 min",,"1
14 min","2
127 min","1
15 min",,,"3
224 min","3
158 min",,,"3
195 min",,"5
78 min"
9,Codefrogs,,8,1087,"1
6 min",,"1
25 min","2
219 min","1
51 min",,"4
-","4
158 min","2
179 min",,,"1
148 min",,"6
101 min"
10,Mines 8,,8,1120,"1
10 min",,"1
20 min","3
45 min","1
22 min",,,"8
217 min","1
173 min","3
286 min",,"1
127 min",,"8
-"
11,BYU Runtime Error,,8,1275,"1
6 min",,"1
20 min","5
276 min","2
61 min",,,"9
205 min","1
239 min",,,"1
103 min",,"1
105 min"
12,Human Beings,,6,689,"1
14 min",,"1
50 min","1
79 min","1
8 min",,,"1
229 min","1
-",,,"3
-",,"2
289 min"
13,Alberta Green,,6,837,"1
9 min",,"2
48 min","5
243 min","1
17 min",,,"1
91 min",,,,"3
289 min",,"3
-"
14,It's 3AM Somewhere,,6,955,"1
6 min",,"1
30 min","2
169 min","1
14 min",,,"9
-","2
-",,,"5
297 min",,"4
279 min"
15,Alberta Blue,,5,481,"1
7 min",,"2
19 min","4
154 min","1
24 min",,,"6
97 min","3
-",,,"8
-",,
16,Vivid Soup,,5,499,"1
16 min",,"1
40 min","1
-","1
52 min",,,"1
125 min","3
226 min",,,"2
-",,
17,The Challengers,,5,580,"1
21 min",,"1
39 min",,"1
16 min",,,"2
158 min","3
286 min",,,,,
18,BYU bring back blue,,5,584,"1
24 min",,"1
130 min","4
211 min","1
35 min",,"1
-","3
-",,,,,,"1
124 min"
19,The _ A _Team,,5,855,"1
18 min",,"16
174 min","3
-","1
26 min",,"1
-","11
-","2
171 min",,,"3
-",,"4
86 min"
20,Broken Monitor,,4,236,"1
3 min",,"1
46 min","4
-","1
36 min",,,,"2
131 min",,,"1
-",,"2
-"
21,I Don't Know Yet,,4,279,"1
4 min",,"1
36 min","6
122 min","1
17 min",,,,"5
-",,,,,
22,Mines 6,,4,309,"1
4 min",,"3
23 min","5
-","2
26 min",,,"3
156 min","3
-","1
-",,"3
-",,"3
-"
23,Alberta Red,,4,315,"1
12 min",,"1
23 min","7
-","1
24 min",,,"2
236 min",,,,"5
-",,"1
-"
24,Alberta Azure,,4,362,"1
12 min",,"1
30 min","7
-","1
49 min",,,"4
-",,,,"1
271 min",,
25,Nitrave Maximus,,4,365,"1
18 min",,"1
52 min",,"1
33 min",,,"2
242 min",,,,,,"2
-"
26,FF@15,,4,435,"1
45 min",,"4
34 min","6
174 min","1
22 min",,,"8
-","4
-",,,,,"1
-"
27,BYU K,,4,485,"1
11 min",,"1
28 min","8
276 min","1
30 min",,,,,,,"9
-",,
28,Mines 5,,4,504,"1
76 min",,"4
96 min","8
-","1
18 min",,,"7
-","1
-","1
-",,"1
254 min",,"7
-"
29,BYU O(n!),,4,556,"1
4 min",,"3
48 min","7
-","1
113 min",,,"12
-",,,,,,"5
271 min"
30,Binary Treant,,4,609,"1
13 min",,"5
92 min","2
248 min","2
136 min",,,,"1
-",,,,,
31,Team Pterodactyl,,3,106,"1
16 min",,"3
27 min","8
-","1
23 min",,,"1
-",,,,"5
-",,
32,The Lemon Drops,,3,143,"1
78 min",,"2
14 min",,"1
31 min",,,"10
-","2
-",,,,,"3
-"
33,Mines 4,,3,186,"1
90 min",,"1
26 min","2
-","1
70 min",,,"2
-","1
-",,,,,
34,Team Bazuso,,3,190,"1
9 min",,"4
86 min","10
-","1
35 min",,,,,,,,,"2
-"
35,Callonia,,3,206,"1
33 min",,"2
62 min",,"1
91 min",,,,,"3
-",,,,"2
-"
36,Googol,,3,246,"1
10 min",,"1
32 min","4
-","3
164 min",,,"2
-",,,,,,"6
-"
37,KIX,,3,250,"2
46 min",,"1
125 min","3
-","1
59 min",,,"3
-",,,,,,"4
-"
38,Alberta Black,,3,325,"2
31 min",,"1
92 min",,"3
142 min",,,"18
-",,,,,,"3
-"
39,Fire Breathing Beasts,,3,364,"1
50 min",,"4
164 min",,"1
90 min",,,,"2
-",,,,,
40,Blaster's Basket Bunch,,3,685,"1
11 min",,"3
256 min",,"7
258 min",,,,,"1
-",,,,
41,if(( pizza && coke )==0) Team= leave;,,2,97,"1
23 min",,,,"2
54 min",,,,,,,,,
42,foobar,,2,101,"1
16 min",,"5
-",,"1
85 min",,,,,,,,,
43,Alberta Teal,,2,179,"1
45 min",,,,"1
134 min",,,,"4
-",,,"2
-",,
44,Mines 7,,2,439,"1
125 min",,"3
-",,"4
254 min",,"3
-","1
-",,,"1
-",,,
45,Brogramming,,0,0,,,,,,,,,,,,,,
45,GoodOldCodes,,0,0,,,,,,,,,,,,,,
